,场景名称：请具体到一个工位、动作或功能,行业,应用/装备名称,行业：请填写该场景对应的行业名称,行业：请填写该场景对应的行业名称-其他-补充内容 2,场景与方案概述：请简述该场景下的目的和动作,部件组合：为完成该场景目标动作所需的所有部件,部件组合,场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意,案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息,行业：请填写该场景对应的行业名称 Copy,部件组合：为完成该场景目标动作所需的所有部件 Copy,场景及方案要点：请列出您印象中，在该场景中有哪些特殊的knowhow或设计要点需要注意 Copy,案例：如果我们公司做过该场景的方案，请提供项目名称或编号；如果我司没有做过，但你知道类似的案例，也可附上链接或相关信息 Copy
54,关节和运动控制,医药器械,康复机器人,医药器械,,康复机器人用于帮助患者进行物理康复训练，直流伺服用于控制各关节和运动单元，实现精确的运动轨迹和力度，以适应不同类型和阶段的恢复训练需求。,,,对关节和运动单元的精度、速度和安全性要求高，需确保训练的有效性和安全性。,,医药器械,"多个直流伺服驱动, 关节机构, 控制器",对关节和运动单元的精度、速度和安全性要求高，需确保训练的有效性和安全性。,某康复中心用于患者康复训练
55,测试动作和参数控制,协作机器人,锂电池测试设备,锂电设备,,锂电池测试设备用于对锂电池进行性能测试。直流伺服用于控制测试探针和动力装置的运动，实现高精度的测试参数控制和结果记录，以验证电池的性能和质量。,,,对测试探针的精度、速度和稳定性要求高，需确保测试过程的一致性和可靠性。,,,"直流伺服驱动, 测试探针, 动力装置, 控制器",对测试探针的精度、速度和稳定性要求高，需确保测试过程的一致性和可靠性。,某电池公司用于锂电池性能检测
56,分选控制和计量,协作机器人,锂电池分选机,锂电设备,,锂电池分选机用于根据电池的性能和规格进行分选。直流伺服用于控制输送装置和分选机构，实现高精度的分选控制和准确的计量，提高生产线的自动化水平。,,,对分选控制的精度、速度和一致性要求高，需确保各类电池的精确分选。,,,"直流伺服驱动, 输送装置, 分选机构, 控制器",对分选控制的精度、速度和一致性要求高，需确保各类电池的精确分选。,某新能源公司用于锂电池生产线
57,卷绕控制和张力调节,协作机器人,锂电池卷绕机,锂电设备,,锂电池卷绕机用于将电池材料卷绕成电芯。直流伺服用于控制卷绕机构和张力装置，实现高精度的卷绕控制和准确的张力调节，确保电池的一致性和稳定性。,,,对卷绕控制的精度、速度和张力调节要求高，需确保卷绕过程的连续性和稳定性。,,,"直流伺服驱动, 卷绕机构, 张力装置, 控制器",对卷绕控制的精度、速度和张力调节要求高，需确保卷绕过程的连续性和稳定性。,某新能源公司用于锂电池电芯生产
58,多轴运动协调控制,协作机器人,锂电池制造设备,锂电设备,,锂电池制造设备包括多个生产工序。直流伺服用于控制各工序的多轴运动，实现高精度、多段位的协调控制，提高生产线的自动化程度和生产效率。,,,对多轴的协调控制和操作精度要求高，需确保各工序的连续性和一致性。,,,"多个直流伺服驱动, 生产工艺设备, 多轴控制系统",对多轴的协调控制和操作精度要求高，需确保各工序的连续性和一致性。,某新能源公司用于全自动锂电池生产线
59,多站点协同装配控制,制造业,流水线自动化装配,制造业,,流水线自动化装配用于各种产品的批量装配。直流伺服用于控制装配机械手和传送装置的多站点协同工作，实现高精度、高速度的连续性装配作业，提高生产线的自动化水平。,,,对多站点协作的控制精度、速度和同步性要求高，需确保装配过程的一致性和效率。,,制造业,"多个直流伺服驱动, 装配机械手, 传送装置, 控制器",对多站点协作的控制精度、速度和同步性要求高，需确保装配过程的一致性和效率。,某家电厂用于洗衣机的自动化装配生产线
60,自动涂层控制,制造业,流水线自动涂装机,制造业,,流水线自动涂装机用于对产品表面进行涂层处理。直流伺服用于控制喷枪和涂装机械手，实现高精度的涂层厚度和均匀性控制，提高产品的涂装质量和生产效率。,,,对喷枪和涂装机械手的运动控制精度、速度和涂层质量要求高，需确保涂层的均匀性和一致性。,,制造业,"直流伺服驱动, 喷枪, 涂装机械手, 控制器",对喷枪和涂装机械手的运动控制精度、速度和涂层质量要求高，需确保涂层的均匀性和一致性。,某汽车厂用于汽车车身的自动涂装生产线
61,螺丝刀,,螺丝刀,制造业,,高频启停,"单片机
   1轴直流旋转电机+1旋转编码器",,"1、高频启停
   2、散热要求
   3、高扭矩控制精度
   4、轻量化设计小体积",艾而特,制造业,"单片机
   1轴直流旋转电机+1旋转编码器","1、高频启停
   2、散热要求
   3、高扭矩控制精度
   4、轻量化设计小体积",艾而特
62,螺丝锁紧和扭松,,锁螺丝机,3C设备,,目的是在一块多螺丝的板子上，通过拧紧和拧松的方式，调节螺丝高度，最终达成螺丝较为统一的高度,未知（项目处于客户自行测试阶段，未见到设备）,,"1.考虑定位精度
   2.考虑套头套住螺丝的时候不够精准，要设置防呆模式
   3.力控有一定的要求",华为团泊洼实验室,3C设备,未知（项目处于客户自行测试阶段，未见到设备）,"1.考虑定位精度
   2.考虑套头套住螺丝的时候不够精准，要设置防呆模式
   3.力控有一定的要求",华为团泊洼实验室
63,生产设备多轴控制,食品,面粉设备,食品,,面粉设备用于将小麦加工成面粉。直流伺服用于控制磨辊、输送带和筛分装置的多轴运动，实现高精度的面粉生产工序控制，提高面粉的质量和生产效率。,,,对磨辊、输送带和筛分装置的运动控制精度、速度和同步性要求较高，需确保面粉的品质和生产效率。,,,"直流伺服驱动, 磨辊, 输送带, 筛分装置, 控制器",对磨辊、输送带和筛分装置的运动控制精度、速度和同步性要求较高，需确保面粉的品质和生产效率。,某粮油厂用于全自动面粉生产线
64,垂直和水平运动控制,建筑设备,爬墙机器人,其他,,爬墙机器人用于进行建筑物外墙清洁和检测。直流伺服用于控制机器人在垂直和水平方向的运动，实现精确的路径控制和运动稳定性，确保作业的安全性和效果。,,,对垂直和水平运动的精度、速度和响应性要求高，需确保机器人在各种工况下的稳定性和安全性。,,,"多个直流伺服驱动, 机器人体, 控制器",对垂直和水平运动的精度、速度和响应性要求高，需确保机器人在各种工况下的稳定性和安全性。,某物业公司用于高层建筑外墙清洁
65,多轴喷洗控制,制造业,喷洗设备,制造业,,喷洗设备用于清洗各种大型设备或设施。直流伺服用于控制喷洗机械臂的多轴运动，实现高精度和高效率的喷洗操作，广泛应用于交通工具、工业设备等的清洗维护。,,,对多轴运动控制的精度、速度和同步性要求高，需适应不同形态和大小的设备清洗需求。,,制造业,"多个直流伺服驱动, 喷洗机械臂, 控制器",对多轴运动控制的精度、速度和同步性要求高，需适应不同形态和大小的设备清洗需求。,某铁路用全自动列车外表清洗喷洗设备
66,多轴协调控制,家电,全自动咖啡机,消费类,,全自动咖啡机用于自动化制作咖啡。直流伺服用于控制水泵、研磨器和奶泡机，实现多轴协调控制和精密调节，确保每杯咖啡的品质和一致性。,,,对多轴协调控制的精度、压力调节和反应速度要求高，需确保稳定的操作性能和用户体验。,,,"多个直流伺服驱动, 水泵, 研磨器, 奶泡机, 控制器",对多轴协调控制的精度、压力调节和反应速度要求高，需确保稳定的操作性能和用户体验。,某家电公司推出的全自动智能咖啡机
67,动作和参数控制,汽车保养,全自动洗车机,其他,,全自动洗车机用于自动化清洗车辆。直流伺服用于控制清洗臂和喷水系统，实现高精度的动作和参数控制，确保清洗的效果和效率，增强用户体验。,,,对动作控制的精度、速度要求高，需确保清洗过程中车辆表面的完全覆盖和均匀清洗。,,,"直流伺服驱动, 清洗臂, 喷水系统, 控制器",对动作控制的精度、速度要求高，需确保清洗过程中车辆表面的完全覆盖和均匀清洗。,某汽车美容店全自动快速洗车设备
68,人形机器人,,人形机器人,"消费类, 制造业",,请咨询FAE部门,请咨询FAE部门,,请咨询FAE部门,南科大,"消费类, 制造业",请咨询FAE部门,请咨询FAE部门,南科大
69,柔性传输线,,柔性传输线,制造业,,请咨询柔性组,请咨询柔性组,,请咨询柔性组,艾美珈,制造业,请咨询柔性组,请咨询柔性组,艾美珈
70,摄影小车的精准运动控制,影视制作,摄影小车,影视制作,,摄影小车用于移动拍摄场景。直流伺服用于控制小车的前进、转向和速度，实现高精度的轨道拍摄和运动稳定性，提高拍摄效果和体验。,,,对运动控制的精度、速度和平滑性要求高，需确保拍摄过程中画面的稳定性和一致性。,,影视制作,"直流伺服驱动, 前进机构, 转向机构, 控制器",对运动控制的精度、速度和平滑性要求高，需确保拍摄过程中画面的稳定性和一致性。,某电影制片厂用于大型动作戏的移动摄影设备
71,温度和搅拌控制,生物技术,生化反应器控制,其他,,生化反应器用于进行生化反应过程。直流伺服用于控制反应器内的温度和搅拌，实现准确的参数调节和稳定的反应过程，确保实验的成功率和产物质量。,,,对温度和搅拌控制的精度和稳定性要求高，需要高度稳定的控制策略和长期可靠性。,,,"直流伺服驱动, 温度控制系统, 搅拌系统, 反应器",对温度和搅拌控制的精度和稳定性要求高，需要高度稳定的控制策略和长期可靠性。,某医药公司用于新药研发的生化实验室
72,液体处理和输送控制,生物技术,生物实验室液体处理系统,其他,,生物实验室液体处理系统用于自动化处理和输送各种试剂。直流伺服用于控制液泵和输送管，实现高精度和高灵敏度的液体处理操作，确保实验的准确性和一致性。,,,对液体处理和输送控制的精度和响应速度要求高，需确保各种试剂处理过程的安全性和无污染。,,,"直流伺服驱动, 液泵, 输送管, 控制器",对液体处理和输送控制的精度和响应速度要求高，需确保各种试剂处理过程的安全性和无污染。,某生物公司用于CRISPR实验室的高通量液体处理
73,使用ZR模组把小件物料置入到苹果治具,,SP小件植入机,3C设备,,把小件物料植入治具，焊接到手机底板上然后再焊接小件物料,"欧姆龙PLC
XY轴直线电机
摄像头
五个ZR模组",,,,3C设备,"欧姆龙PLC
XY轴直线电机
摄像头
五个ZR模组",,
74,使用激光和振镜实现金属的激光焊接,,手持激光焊,激光设备,,正负3度的振幅摆动振镜；300hz位置跟随；最终表现就是焊缝均匀,直流有刷旋转电机；编码器：基于光电池模拟量编码器；驱动器；振镜领域专用控制器,,"1、涉及体积原因，一般会选用直流有刷电机；
2、同样也是因为体积等原因，编码器直接使用的是光电池；
3、行业领域协议：XY2-100协议",https://motiong.feishu.cn/docx/H4j1dQfh9oYebFxS96icAYXRnBe,激光设备,直流有刷旋转电机；编码器：基于光电池模拟量编码器；驱动器；振镜领域专用控制器,"1、涉及体积原因，一般会选用直流有刷电机；
2、同样也是因为体积等原因，编码器直接使用的是光电池；
3、行业领域协议：XY2-100协议",https://motiong.feishu.cn/docx/H4j1dQfh9oYebFxS96icAYXRnBe
75,模组组装控制,3C设备,手机相机模组组装设备,3C设备,,手机相机模组组装设备用于将镜头、传感器等组件精确装配到一起。直流伺服用于控制装配头的多轴运动，实现高精度的模组组装，确保相机模组的性能和稳定性。,,,对多轴运动控制的精度和速度要求高，需确保每个组件的准确装配和定位。,,3C设备,"多个直流伺服驱动, 装配头, XYZ轴机构, 控制器",对多轴运动控制的精度和速度要求高，需确保每个组件的准确装配和定位。,某手机制造厂用于相机模组的自动化装配生产线
76,多轴装配控制,3C设备,手机组装生产线,3C设备,,手机组装生产线用于对手机各个部件进行精确装配。直流伺服用于控制各种装配机械手和传送工具，实现高精度的多轴协调装配，确保每个组件的正确安装和定位。,,,对多轴运动控制的精度和速度要求高，需确保大规模生产中的一致性和可靠性。,,3C设备,"多个直流伺服驱动, 装配机械手, 传送工具, 控制器",对多轴运动控制的精度和速度要求高，需确保大规模生产中的一致性和可靠性。,某手机制造厂用于智能手机的全自动装配生产线
77,手术器械的精准控制,医药器械,手术机器人,医药器械,,手术机器人用于协助医生进行微创手术。直流伺服用于控制手术器械的高精度运动，实现复杂手术操作中的精准和灵敏性，提高手术的成功率和安全性。,,,对运动控制的精度、速度和灵敏性要求极高，需确保手术操作的安全性和可靠性。,,医药器械,"多个直流伺服驱动, 手术器械, 控制器",对运动控制的精度、速度和灵敏性要求极高，需确保手术操作的安全性和可靠性。,某医院用于心脏微创手术的高端手术机器人
78,属于半导体生产线上的一个通用工位，一般性的上下游转移晶片，都要用到此设备,,半导体晶圆搬运设备,半导体设备,,高效的转移晶圆片到后续的工位，动作包括伸缩、旋转，上升下降等,"T1轴 伺服驱动器+直驱+绝对值编码器+伺服电机  旋转动作
T2轴 伺服驱动器+直驱+绝对值编码器+伺服电机  旋转动作
T3轴 伺服驱动器+直驱+绝对值编码器+伺服电机  旋转动作
Z轴  外部抱闸+伺服驱动器+丝杆+绝对值编码器 + 伺服电机 升降动作",,"1、T1、T2、T3轴实际运动是耦合在一起的，共同完成旋转、伸缩的动作。
2、此场景需要动力电和控制电分开，所以必须用我们的DG3系列（但是和客户说的型号是定制的）
3、需要使用高速探针功能、两路、探针周期为20us，硬件采集为中断实时采集
4、机械机构的差异性会导致运行中震动，需要添加合适的滤波器
5、由于客户CANopen主站限制，同步周期目前只能做到16ms，很慢
6、除了Z轴以外，其他轴的编码器协议是定制的SSI协议",CN-N-22-C-HY-XS02项目,半导体设备,"T1轴 伺服驱动器+直驱+绝对值编码器+伺服电机  旋转动作
T2轴 伺服驱动器+直驱+绝对值编码器+伺服电机  旋转动作
T3轴 伺服驱动器+直驱+绝对值编码器+伺服电机  旋转动作
Z轴  外部抱闸+伺服驱动器+丝杆+绝对值编码器 + 伺服电机 升降动作","1、T1、T2、T3轴实际运动是耦合在一起的，共同完成旋转、伸缩的动作。
2、此场景需要动力电和控制电分开，所以必须用我们的DG3系列（但是和客户说的型号是定制的）
3、需要使用高速探针功能、两路、探针周期为20us，硬件采集为中断实时采集
4、机械机构的差异性会导致运行中震动，需要添加合适的滤波器
5、由于客户CANopen主站限制，同步周期目前只能做到16ms，很慢
6、除了Z轴以外，其他轴的编码器协议是定制的SSI协议",CN-N-22-C-HY-XS02项目
79,仿生泳姿控制,海洋工程,水下机器人,其他,,水下机器人用于进行水下探测、环境监测和施工。直流伺服用于控制机器人各关节的协同运动，实现仿生的灵活泳姿和精准的定位，适应复杂的水下环境。,,,对关节运动和整体协调的精度、灵活性和稳定性要求高，需适应各种水下环境和任务要求。,,,"多个直流伺服驱动, 关节机构, 控制器",对关节运动和整体协调的精度、灵活性和稳定性要求高，需适应各种水下环境和任务要求。,某海洋研究所用于海底矿产勘探
80,印刷头运动和丝网控制,印刷,丝网印设备,印刷,,丝网印设备用于在不同材质表面进行丝网印刷。直流伺服用于控制印刷头和丝网的运动，实现高精度的图像和文字印刷，确保印刷效果的一致性和品质。,,,对印刷头和丝网运动控制的精度和速度要求高，需确保印刷过程中的均匀性和一致性。,,印刷,"直流伺服驱动, 印刷头, 丝网, 控制器",对印刷头和丝网运动控制的精度和速度要求高，需确保印刷过程中的均匀性和一致性。,某包装公司用于高端包装纸盒的自动丝网印刷生产线
81,装配机构的多轴控制,能源,太阳能电池板装配设备,其他,,太阳能电池板装配设备用于将太阳能电池组件精确装配在一起。直流伺服用于控制装配机械手和移动平台，实现高精度多轴装配，确保每个电池组件的正确安装和固定，以提高产量和装配质量。,,,对装配机械手和移动平台控制的精度和速度要求高，需确保装配过程的一致性和效率。,,,"多个直流伺服驱动, 装配机械手, 移动平台, 控制器",对装配机械手和移动平台控制的精度和速度要求高，需确保装配过程的一致性和效率。,某太阳能设备公司用于光伏电池板的自动化装配生产线
82,生产机构运动控制,能源,太阳能逆变器制造设备,其他,,太阳能逆变器制造设备用于生产转换太阳能的逆变器。直流伺服用于控制制造设备的运动部件，实现高精度、高效率的装配和检测，提高逆变器的生产质量和一致性。,,,对制造设备运动控制的精度、速度要求高，需确保逆变器各组件装配和检测的一致性和精度。,,,"直流伺服驱动, 生产设备, 控制系统",对制造设备运动控制的精度、速度要求高，需确保逆变器各组件装配和检测的一致性和精度。,某电力设备厂用于太阳能逆变器自动化生产线
83,贴片机贴片头的运动控制,,贴片机,半导体设备,,"目的是控制贴片头的z轴运动和旋转运动
   可使用ZR模组实现","PLC
   z轴：1台直线电机 或 1台音圈电机 + 直线编码器+直流伺服驱动器
   R轴：1台旋转伺服电机+旋转编码器+直流伺服驱动器",,"1. 高速低惯量电机选择。
   2. 轻量化设计。
   3. 视觉系统与运动控制高度协同。
   4. 高精度位置反馈。
   5. 良好的热管理和振动控制。", ,半导体设备,"PLC
   z轴：1台直线电机 或 1台音圈电机 + 直线编码器+直流伺服驱动器
   R轴：1台旋转伺服电机+旋转编码器+直流伺服驱动器","1. 高速低惯量电机选择。
   2. 轻量化设计。
   3. 视觉系统与运动控制高度协同。
   4. 高精度位置反馈。
   5. 良好的热管理和振动控制。", 
84,贴装运动控制,光学仪器制造,透镜贴装,其他,,透镜贴装用于将透镜精确装配到光学设备或电子器件中。直流伺服用于控制贴装头的多轴运动，实现高精度的透镜定位和贴装，确保光学性能和组件的一致性。,,,对贴装头多轴运动控制的精度、速度和一致性要求高，需确保透镜装配的稳定性和光学性能。,,,"多个直流伺服驱动, 贴装头, XYZ轴机构, 控制器",对贴装头多轴运动控制的精度、速度和一致性要求高，需确保透镜装配的稳定性和光学性能。,某光学公司用于智能手机相机透镜贴装生产线
85,外骨骼机器人,,外骨骼机器人,医药器械,,是一个仿生肢体，腿部外骨骼,2轴，无框力矩电机+编码器+dc伺服驱动,,"1. 有类似零速阻尼的功能，但是由主站实现，走CST模式
2. 编码器的安装需要注意
3. 力矩过载峰值要求比较高",布法罗,医药器械,2轴，无框力矩电机+编码器+dc伺服驱动,"1. 有类似零速阻尼的功能，但是由主站实现，走CST模式
2. 编码器的安装需要注意
3. 力矩过载峰值要求比较高",布法罗
86,无人机测绘,,激光雷达,测绘行业,,在对复杂地形，全站仪和人难以轻松做测绘工作时，通过无人机带载激光雷达，进行测绘,两轴，pitch轴 0-180°运动，yaw轴360°运动。可使用1运动控制卡+2旋转伺服+2旋转编码器+2直流伺服驱动器,,考虑转速和定位精度，以及最慢的转速,南方卫星,测绘行业,两轴，pitch轴 0-180°运动，yaw轴360°运动。可使用1运动控制卡+2旋转伺服+2旋转编码器+2直流伺服驱动器,考虑转速和定位精度，以及最慢的转速,南方卫星
87,驾驶和路径规划控制,3C设备,无人配送车辆,物流,,无人配送车辆用于自动化物品配送。直流伺服用于控制车辆的驱动和转向，实现高精度的路径规划和避障能力，确保配送的效率和安全性。,,,对驾驶和路径规划的精度、速度和稳定性要求高，需确保复杂环境下的安全和可靠配送。,,物流,"多个直流伺服驱动, 驱动机构, 转向机构, 控制器",对驾驶和路径规划的精度、速度和稳定性要求高，需确保复杂环境下的安全和可靠配送。,某快递公司用于物流中心的无人配送系统
88,显影头运动控制及参数控制,半导体设备,显影机,半导体设备,,显影机用于在半导体和显示器制造中进行图像显影。直流伺服用于控制显影头的多轴运动和显影参数，实现高精度、高均匀度的显影过程，确保显影质量和生产效率。,,,对显影头多轴运动控制的精度和均匀性要求高，需确保显影过程的一致性和效率。,,半导体设备,"直流伺服驱动, 显影头, 多轴运动控制系统",对显影头多轴运动控制的精度和均匀性要求高，需确保显影过程的一致性和效率。,某显示器厂用于高分辨率显示屏的显影工序
89,协作机器人检测工位,协作机器人,协作机器人,制造业,,协作机器人在检测工位上进行产品的质量检测，需要精确控制机器人的移动和检测工具的运动。通常涉及多轴的协调运动，包括XYZ轴的直线运动和旋转轴。适合需要较高精确度和柔性操作的工位。,,,高精度、低误差、稳定性要求,,,伺服电机、编码器、驱动器,高精度、低误差、稳定性要求,电子产品装配线、半导体制造
90,协作机器人喷涂工位,协作机器人,协作机器人,制造业,,协作机器人进行喷涂任务，通过编程实现机臂的多轴运动，保证喷涂均匀和一致性。直流伺服驱动可以控制喷涂的速度和流量，有效保证喷涂质量。,,,均匀性、精度、速度控制,,,伺服电机、编码器、控制系统,均匀性、精度、速度控制,汽车喷漆、电子设备喷涂
91,协作机器人装配工位,协作机器人,协作机器人,制造业,,在装配工位，协作机器人需要进行组件的拾取和放置，具有高精度和重复精度的要求。直流伺服驱动可以提供稳定和精确的运动控制。,,,精度、高重复性、稳定性,,,伺服电机、传感器、驱动器,精度、高重复性、稳定性,汽车制造、电子设备装配
92,新能源汽车充换电,汽车保养,充电桩、换电站设备,其他,,在新能源汽车充换电场景中，直流伺服驱动可以用于控制设备的定位和连接操作，确保设备精准、安全地连接到车身。,,,可靠性、安全性、精度,,,伺服电机、传感器、驱动器,可靠性、安全性、精度,充电桩、换电站
93,巡检机器人,能源,巡检机器人,其他,,巡检机器人用于进行设备和环境的实时监测，通过直流伺服驱动实现平稳的移动和精准的检测定位。,,,精准定位、稳定移动、续航能力,,,伺服电机、传感器、摄像头,精准定位、稳定移动、续航能力,电力巡检、工厂设备巡检
94,药物分拣设备,医药器械,药物分拣设备,医药器械,,药物分拣设备需要高速精确地分拣药物，通过多轴直流伺服驱动系统控制抓取和放置。,,,高速、精度、稳定性,,医药器械,伺服电机、传感器、机械臂,高速、精度、稳定性,制药厂自动化分拣线
95,医疗机器人,医药器械,医疗机器人,医药器械,,医疗机器人用于辅助手术和操作，通过多轴直流伺服驱动实现精准和柔性的运动。,,,高精度、柔性、安全性,,医药器械,伺服电机、传感器、控制系统,高精度、柔性、安全性,腹腔镜手术机器人
96,医疗实验室搬运机器人,医药器械,实验室搬运机器人,医药器械,,实验室搬运机器人用于运输实验室物品，通过直流伺服驱动实现稳定和精准的定位移动。,,,稳定移动、精准定位、安全性,,医药器械,伺服电机、传感器、驱动器,稳定移动、精准定位、安全性,医疗实验室自动化管理
97,医疗影像设备,医药器械,医疗影像设备,医药器械,,医疗影像设备需要精确控制探测部件的运动，直流伺服驱动可以提供高精度的定位控制。,,,高精度、稳定性、安全性,,医药器械,伺服电机、传感器、控制系统,高精度、稳定性、安全性,MRI、CT成像设备
98,医美机器人,协作机器人,医美机器人,其他,,医美机器人用于美容手术，通过多轴直流伺服驱动实现精准操作和灵活控制。,,,高精度、柔性、安全性,,,伺服电机、传感器、控制系统,高精度、柔性、安全性,激光美容机器人
99,移液机器人,高校/研究院,移液机器人,其他,,移液机器人用于自动化液体处理，通过直流伺服驱动实现精准的液量控制和定位。,,,高精度、稳定性、可靠性,,,伺服电机、传感器、驱动器,高精度、稳定性、可靠性,实验室液体处理系统
100,印刷电路板钻孔机,半导体设备,印刷电路板钻孔机,半导体设备,,印刷电路板钻孔需要高速度、高精度的运动控制，直流伺服驱动可以提供对钻头运动的精确控制。,,,高速度、高精度、稳定性,,半导体设备,伺服电机、编码器、控制系统,高速度、高精度、稳定性,电子制造PCB钻孔设备
101,预推机的工件焊点推杆控制,,预推机的推杆控制,制造业,,工件在前面有焊点，预推机为把虚焊的点位推掉。这样后续设备就可以通过视觉排除有问题的工件,"汇川PLC
一个伺服控制凸轮结构
根据不同工件种类而需要不同数量的音圈电机",,,,制造业,"汇川PLC
一个伺服控制凸轮结构
根据不同工件种类而需要不同数量的音圈电机",,
102,云台,影视制作,云台装置,影视制作,,云台装置需要实现精准的角度控制，通过直流伺服驱动实现平滑的旋转和定位。,,,平滑旋转、高精度、稳定性,,影视制作,伺服电机、编码器、控制系统,平滑旋转、高精度、稳定性,监控设备、拍摄设备
103,直线电机加无刷电机拼接,,柔性流水线,物流,,直线电机拼接，动子互相切换已达到可以在每个线圈上运动,直线电机+圆弧做无刷电机,,,,物流,直线电机+圆弧做无刷电机,,
104,智能搬运机器人,协作机器人,搬运机器人,物流,,智能搬运机器人用于自动化运输，通过直流伺服驱动实现稳定的移动和精确的路径控制。,,,稳定移动、精确路径控制、可靠性,,,伺服电机、传感器、驱动器,稳定移动、精确路径控制、可靠性,仓库自动化搬运系统
105,智能并线机器人装备,制造业,并线机器人,制造业,,并线机器人用于纱线的自动并合，通过直流伺服驱动实现高精度的运动控制。,,,高精度、稳定性、可靠性,,制造业,伺服电机、传感器、驱动器,高精度、稳定性、可靠性,纺织厂自动化设备
106,智能仓储系统,3C设备,仓储系统,物流,,智能仓储系统需要自动化物料搬运和存储，通过直流伺服驱动实现精确的定位移动。,,,精确定位、稳定移动、可靠性,,物流,伺服电机、传感器、驱动器,精确定位、稳定移动、可靠性,智能仓库系统
107,智能清舱农机,农业,农业机械,农业,,智能清舱农机用于清理仓库或农田，通过直流伺服驱动实现高效的移动和工作。,,,稳定性、高效移动、耐用性,,农业,伺服电机、编码器、控制系统,稳定性、高效移动、耐用性,农业生产自动化设备
108,转台,3C设备,转台装置,3C设备,,转台用于产品展示或加工，通过直流伺服驱动实现稳定的旋转和定位。,,,稳定旋转、高精度、控制性,,3C设备,伺服电机、编码器、控制系统,稳定旋转、高精度、控制性,机器人展览、加工转台
109,自动搬运物流车,,地狼AGV,物流,,目的是控制物流小车通过激光雷达搬运货物到指定的位置，包括前进后退、原地旋转,"主站，客户自研控制板
从站1：行走左轮 驱动器+编码器+减速机+电机
从站2：行走右轮 驱动器+编码器+减速机+电机
从站3：顶升电机 驱动器+编码器+减速机+电机
从站4：旋转电机 驱动器+编码器+减速机+电机",,"1、客户批量生产队电机的一致性要求比较高，我司提供的定制电机，需要要求电机厂家改进安装工艺
2、采用CSV模式控制",CN-N-22-T-JDWL,物流,"主站，客户自研控制板
从站1：行走左轮 驱动器+编码器+减速机+电机
从站2：行走右轮 驱动器+编码器+减速机+电机
从站3：顶升电机 驱动器+编码器+减速机+电机
从站4：旋转电机 驱动器+编码器+减速机+电机","1、客户批量生产队电机的一致性要求比较高，我司提供的定制电机，需要要求电机厂家改进安装工艺
2、采用CSV模式控制",CN-N-22-T-JDWL
110,自动点餐与配送机器人,餐饮,点餐与配送机器人,其他,,自动点餐与配送机器人用于餐饮行业的自动点餐和食物配送，通过直流伺服驱动实现精准的移动和定位。,,,精确定位、稳定移动、可靠性,,,伺服电机、传感器、驱动器,精确定位、稳定移动、可靠性,餐厅自动化服务系统
111,自动光伏电池测试设备,半导体设备,光伏测试设备,半导体设备,,光伏电池测试设备需要高精度的测试和数据采集，通过直流伺服驱动实现测试装置的精确运动。,,,高精度、数据稳定性、可靠性,,半导体设备,伺服电机、传感器、控制系统,高精度、数据稳定性、可靠性,光伏电池生产线
112,自动焊接机,制造业,焊接机,制造业,,自动焊接机用于高精度焊接，通过直流伺服驱动控制焊接头的运动，实现一致的焊接质量。,,,高精度、一致性、稳定性,,制造业,伺服电机、编码器、控制系统,高精度、一致性、稳定性,汽车制造、金属加工
113,自动化玻璃清洗设备,制造业,玻璃清洗设备,制造业,,自动化玻璃清洗设备需要精准控制清洗头的运动，通过直流伺服驱动可以实现均匀、高效的清洗。,,,精准运动、均匀清洗、高效性,,制造业,伺服电机、传感器、驱动器,精准运动、均匀清洗、高效性,玻璃制造厂清洗线
114,自动化仓库堆垛机,3C设备,仓库堆垛机,物流,,自动化仓库堆垛机用于自动化仓储，通过直流伺服驱动实现堆垛机的精准定位和稳定操作。,,,精准定位、稳定操作、可靠性,,物流,伺服电机、传感器、驱动器,精准定位、稳定操作、可靠性,自动化仓储系统
115,自动化冲压机,制造业,冲压机,制造业,,自动化冲压机需要高速度、高精度的运动控制，通过直流伺服驱动实现揉零件的精准冲压。,,,高速度、高精度、稳定性,,制造业,伺服电机、编码器、控制系统,高速度、高精度、稳定性,金属制造自动化设备
116,自动化打包机,3C设备,打包机,物流,,自动化打包机通过直流伺服驱动控制打包动作，实现快速、高效的打包作业。,,,高效率、稳定性、精确控制,,物流,伺服电机、传感器、驱动器,高效率、稳定性、精确控制,物流打包自动化系统
117,自动化点焊机,制造业,点焊机,制造业,,在点焊机中，需要对焊点进行精准定位，以完成多点焊接。目的：实现高效、精准的焊接过程。该场景需要多个轴的协调运动，包括X轴、Y轴的平面运动以及Z轴的上下运动。,,,高响应速度、高位置精度和强大的负载能力，以应对焊接过程中复杂的动力学变化。,,制造业,驱动电机、直线导轨、编码器、工业控制器、伺服驱动器,要求：高响应速度、高位置精度和强大的负载能力，以应对焊接过程中复杂的动力学变化。,某汽车制造厂的机器人自动化点焊机应用
